警报类别,警报级别,警报内容,时间戳
能见度,warning,出现有雾，能见度降低，请注意航行安全。,2025-05-21T01:59:41.270Z
能见度,warning,出现有雾，能见度降低，请注意航行安全。,2025-05-21T01:59:41.270Z
严重污染,danger,总氮严重超标！浓度9.64mg/L，水体营养盐严重过量！,2025-05-28T10:15:46.231Z
重度污染,warning,溶解氧偏低警告：当前10.05mg/L，水体开始缺氧。,2025-05-28T10:15:46.231Z
重度污染,warning,化学需氧量超标警告：当前3.93mg/L，水体有机污染较重。,2025-05-28T10:15:46.231Z
重度污染,warning,氨氮超标警告：浓度0.28mg/L，水体污染加重。,2025-05-28T10:15:46.231Z
重度污染,warning,总磷超标警告：浓度0.025mg/L，可能引起水体富营养化。,2025-05-28T10:15:46.231Z
中度污染,info,溶解氧偏低提醒：当前10.05mg/L，建议关注水体含氧量。,2025-05-28T10:15:46.231Z
中度污染,info,化学需氧量偏高：当前3.93mg/L，水体有机物含量较高。,2025-05-28T10:15:46.231Z
中度污染,info,氨氮偏高提醒：浓度0.28mg/L，水质开始下降。,2025-05-28T10:15:46.231Z
中度污染,info,总磷偏高提醒：浓度0.025mg/L，需要关注。,2025-05-28T10:15:46.231Z
中度污染,info,电导率偏高：当前1583.9μS/cm，水体矿化度较高。,2025-05-28T10:21:34.218Z
严重污染,danger,总氮严重超标！浓度9.64mg/L，水体营养盐严重过量！,2025-05-28T15:39:48.957Z
重度污染,warning,溶解氧偏低警告：当前10.05mg/L，水体开始缺氧。,2025-05-28T15:39:48.957Z
重度污染,warning,化学需氧量超标警告：当前3.93mg/L，水体有机污染较重。,2025-05-28T15:39:48.957Z
重度污染,warning,氨氮超标警告：浓度0.28mg/L，水体污染加重。,2025-05-28T15:39:48.957Z
重度污染,warning,总磷超标警告：浓度0.025mg/L，可能引起水体富营养化。,2025-05-28T15:39:48.957Z
中度污染,info,溶解氧偏低提醒：当前10.05mg/L，建议关注水体含氧量。,2025-05-28T15:39:48.957Z
中度污染,info,化学需氧量偏高：当前3.93mg/L，水体有机物含量较高。,2025-05-28T15:39:48.957Z
中度污染,info,氨氮偏高提醒：浓度0.28mg/L，水质开始下降。,2025-05-28T15:53:05.418Z
中度污染,info,总磷偏高提醒：浓度0.025mg/L，需要关注。,2025-05-28T15:53:05.418Z
中度污染,info,电导率偏高：当前1583.9μS/cm，水体矿化度较高。,2025-05-28T15:53:05.418Z
中度污染,info,浊度偏高提醒：当前11.3NTU，水体透明度下降。,2025-05-28T15:53:05.418Z
严重污染,danger,总氮严重超标！浓度9.64mg/L，水体营养盐严重过量！,2025-05-28T16:09:49.258Z
重度污染,warning,溶解氧偏低警告：当前10.05mg/L，水体开始缺氧。,2025-05-28T16:09:49.258Z
重度污染,warning,化学需氧量超标警告：当前3.93mg/L，水体有机污染较重。,2025-05-28T16:09:49.258Z
重度污染,warning,氨氮超标警告：浓度0.28mg/L，水体污染加重。,2025-05-28T16:09:49.258Z
重度污染,warning,总磷超标警告：浓度0.025mg/L，可能引起水体富营养化。,2025-05-28T16:09:49.258Z
中度污染,info,溶解氧偏低提醒：当前10.05mg/L，建议关注水体含氧量。,2025-05-28T16:09:49.258Z
中度污染,info,化学需氧量偏高：当前3.93mg/L，水体有机物含量较高。,2025-05-28T16:09:49.258Z
中度污染,info,氨氮偏高提醒：浓度0.28mg/L，水质开始下降。,2025-05-28T16:09:49.258Z
中度污染,info,总磷偏高提醒：浓度0.025mg/L，需要关注。,2025-05-28T16:09:49.258Z
中度污染,info,电导率偏高：当前1583.9μS/cm，水体矿化度较高。,2025-05-28T16:09:49.258Z
中度污染,info,浊度偏高提醒：当前11.3NTU，水体透明度下降。,2025-05-28T16:09:49.258Z
严重污染,danger,总氮严重超标！浓度9.64mg/L，水体营养盐严重过量！,2025-06-16T09:09:19.406Z
重度污染,warning,溶解氧偏低警告：当前10.05mg/L，水体开始缺氧。,2025-06-16T09:09:19.406Z
重度污染,warning,化学需氧量超标警告：当前3.93mg/L，水体有机污染较重。,2025-06-16T09:09:19.406Z
重度污染,warning,氨氮超标警告：浓度0.28mg/L，水体污染加重。,2025-06-16T09:09:19.406Z
重度污染,warning,总磷超标警告：浓度0.025mg/L，可能引起水体富营养化。,2025-06-16T09:09:19.406Z
中度污染,info,溶解氧偏低提醒：当前10.05mg/L，建议关注水体含氧量。,2025-06-16T09:09:19.406Z
中度污染,info,化学需氧量偏高：当前3.93mg/L，水体有机物含量较高。,2025-06-16T09:09:19.406Z
中度污染,info,氨氮偏高提醒：浓度0.28mg/L，水质开始下降。,2025-06-16T09:09:19.406Z
中度污染,info,总磷偏高提醒：浓度0.025mg/L，需要关注。,2025-06-16T09:09:19.406Z
中度污染,info,电导率偏高：当前1583.9μS/cm，水体矿化度较高。,2025-06-16T09:09:19.406Z
中度污染,info,浊度偏高提醒：当前11.3NTU，水体透明度下降。,2025-06-16T09:09:19.406Z
严重污染,danger,总氮严重超标！浓度9.64mg/L，水体营养盐严重过量！,2025-06-16T09:32:04.812Z
重度污染,warning,溶解氧偏低警告：当前10.05mg/L，水体开始缺氧。,2025-06-16T09:32:04.812Z
重度污染,warning,化学需氧量超标警告：当前3.93mg/L，水体有机污染较重。,2025-06-16T09:32:04.812Z
重度污染,warning,氨氮超标警告：浓度0.28mg/L，水体污染加重。,2025-06-16T09:32:04.812Z
重度污染,warning,总磷超标警告：浓度0.025mg/L，可能引起水体富营养化。,2025-06-16T09:32:04.812Z
中度污染,info,溶解氧偏低提醒：当前10.05mg/L，建议关注水体含氧量。,2025-06-16T09:32:04.812Z
中度污染,info,化学需氧量偏高：当前3.93mg/L，水体有机物含量较高。,2025-06-16T09:32:04.812Z
