警报类别,警报级别,警报内容,时间戳
中等降水,warning,中雨持续中，请做好防护准备。,2025-05-16T02:15:29.156Z
能见度,warning,出现有雾，能见度降低，请注意航行安全。,2025-05-16T11:01:19.651Z
极端天气,danger,当前出现雷暴，请立即采取防护措施！,2025-05-21T02:01:20.713Z
极端天气,danger,当前出现雷暴，请立即采取防护措施！,2025-05-21T02:21:11.500Z
重度污染,warning,总氮超标警告：浓度3.45mg/L，水体营养盐过量。,2025-05-28T10:04:09.058Z
严重污染,danger,总氮严重超标！浓度3.45mg/L，水体营养盐严重过量！,2025-05-28T16:41:21.848Z
重度污染,warning,溶解氧偏低警告：当前6.56mg/L，水体开始缺氧。,2025-05-28T16:41:21.848Z
重度污染,warning,化学需氧量超标警告：当前2.96mg/L，水体有机污染较重。,2025-05-28T16:41:21.848Z
重度污染,warning,氨氮超标警告：浓度0.107mg/L，水体污染加重。,2025-05-28T16:41:21.848Z
重度污染,warning,总磷超标警告：浓度0.066mg/L，可能引起水体富营养化。,2025-05-28T16:41:21.848Z
中度污染,info,溶解氧偏低提醒：当前6.56mg/L，建议关注水体含氧量。,2025-05-28T16:41:21.848Z
中度污染,info,化学需氧量偏高：当前2.96mg/L，水体有机物含量较高。,2025-05-28T16:41:21.848Z
中度污染,info,总磷偏高提醒：浓度0.066mg/L，需要关注。,2025-05-28T16:41:21.848Z
严重污染,danger,总氮严重超标！浓度3.45mg/L，水体营养盐严重过量！,2025-06-16T10:05:37.698Z
重度污染,warning,溶解氧偏低警告：当前6.56mg/L，水体开始缺氧。,2025-06-16T10:05:37.698Z
重度污染,warning,化学需氧量超标警告：当前2.96mg/L，水体有机污染较重。,2025-06-16T10:05:37.698Z
重度污染,warning,氨氮超标警告：浓度0.107mg/L，水体污染加重。,2025-06-16T10:05:37.698Z
重度污染,warning,总磷超标警告：浓度0.066mg/L，可能引起水体富营养化。,2025-06-16T10:05:37.698Z
中度污染,info,溶解氧偏低提醒：当前6.56mg/L，建议关注水体含氧量。,2025-06-16T10:05:37.698Z
中度污染,info,化学需氧量偏高：当前2.96mg/L，水体有机物含量较高。,2025-06-16T10:05:37.698Z
中度污染,info,氨氮偏高提醒：浓度0.107mg/L，水质开始下降。,2025-06-16T10:05:37.698Z
中度污染,info,总磷偏高提醒：浓度0.066mg/L，需要关注。,2025-06-16T10:05:37.698Z
中度污染,info,浊度偏高提醒：当前7.5NTU，水体透明度下降。,2025-06-16T10:05:37.698Z
严重污染,danger,总氮严重超标！浓度3.45mg/L，水体营养盐严重过量！,2025-06-22T12:01:56.846Z
重度污染,warning,溶解氧偏低警告：当前6.56mg/L，水体开始缺氧。,2025-06-22T12:01:56.846Z
重度污染,warning,化学需氧量超标警告：当前2.96mg/L，水体有机污染较重。,2025-06-22T12:01:56.846Z
重度污染,warning,氨氮超标警告：浓度0.107mg/L，水体污染加重。,2025-06-22T12:01:56.846Z
重度污染,warning,总磷超标警告：浓度0.066mg/L，可能引起水体富营养化。,2025-06-22T12:01:56.846Z
中度污染,info,溶解氧偏低提醒：当前6.56mg/L，建议关注水体含氧量。,2025-06-22T12:01:56.847Z
中度污染,info,化学需氧量偏高：当前2.96mg/L，水体有机物含量较高。,2025-06-22T12:01:56.847Z
中度污染,info,氨氮偏高提醒：浓度0.107mg/L，水质开始下降。,2025-06-22T12:01:56.847Z
中度污染,info,总磷偏高提醒：浓度0.066mg/L，需要关注。,2025-06-22T12:01:56.847Z
中度污染,info,浊度偏高提醒：当前7.5NTU，水体透明度下降。,2025-06-22T12:01:56.847Z
严重污染,danger,总氮严重超标！浓度3.45mg/L，水体营养盐严重过量！,2025-06-22T15:13:33.841Z
重度污染,warning,溶解氧偏低警告：当前6.56mg/L，水体开始缺氧。,2025-06-22T15:13:33.841Z
重度污染,warning,化学需氧量超标警告：当前2.96mg/L，水体有机污染较重。,2025-06-22T15:13:33.841Z
重度污染,warning,氨氮超标警告：浓度0.107mg/L，水体污染加重。,2025-06-22T15:13:33.841Z
重度污染,warning,总磷超标警告：浓度0.066mg/L，可能引起水体富营养化。,2025-06-22T15:13:33.841Z
中度污染,info,溶解氧偏低提醒：当前6.56mg/L，建议关注水体含氧量。,2025-06-22T15:13:33.841Z
中度污染,info,化学需氧量偏高：当前2.96mg/L，水体有机物含量较高。,2025-06-22T15:13:33.841Z
中度污染,info,氨氮偏高提醒：浓度0.107mg/L，水质开始下降。,2025-06-22T15:13:33.841Z
中度污染,info,总磷偏高提醒：浓度0.066mg/L，需要关注。,2025-06-22T15:13:33.841Z
中度污染,info,浊度偏高提醒：当前7.5NTU，水体透明度下降。,2025-06-22T15:13:33.841Z
